submission_date,state,tot_cases,conf_cases,prob_cases,new_case,pnew_case,tot_death,conf_death,prob_death,new_death,pnew_death,created_at,consent_cases,consent_deaths
12/21/2020,ME,19285,16721,2564,0,-1,293,288,5,0,-1,12/22/2020 02:35:48 PM,Agree,Agree
12/24/2020,ME,21226,18258,2968,0,0,317,312,5,0,0,12/25/2020 02:25:34 PM,Agree,Agree
06/25/2020,ME,3070,2731,339,0,-1,103,103,0,0,-1,06/26/2020 07:18:27 PM,Agree,Agree
07/24/2020,ME,3757,3357,400,0,0,118,118,0,0,-1,07/25/2020 05:40:06 PM,Agree,Agree
08/28/2020,ME,4436,3981,455,0,0,132,131,1,0,0,08/29/2020 01:42:50 PM,Agree,Agree
02/01/2020,ME,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
03/01/2020,ME,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
05/01/2020,ME,1123,1123,0,0,-35,55,55,0,0,0,05/02/2020 15:47,Agree,Agree
09/01/2020,ME,4548,4081,467,0,0,132,131,1,0,0,09/02/2020 13:49,Agree,Agree
02/02/2020,ME,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
03/02/2020,ME,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
07/02/2020,ME,3328,2951,377,0,0,105,105,0,0,-1,07/03/2020 15:01,Agree,Agree
10/02/2020,ME,5468,4900,568,0,0,142,141,1,0,0,10/03/2020 13:39,Agree,Agree
02/03/2020,ME,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
03/03/2020,ME,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
06/03/2020,ME,2418,2152,266,0,0,95,95,0,0,-1,06/04/2020 15:03,Agree,Agree
02/04/2020,ME,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
03/04/2020,ME,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
07/04/2020,ME,3397,3012,385,0,0,107,107,0,0,-1,07/05/2020 15:00,Agree,Agree
02/05/2020,ME,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
03/05/2020,ME,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
02/06/2020,ME,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
03/06/2020,ME,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
05/06/2020,ME,1254,1174,80,0,0,62,62,0,0,0,05/07/2020 22:59,Agree,Agree
02/07/2020,ME,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
03/07/2020,ME,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
06/07/2020,ME,2570,2295,275,0,0,99,99,0,0,-1,06/08/2020 14:55,Agree,Agree
02/08/2020,ME,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
03/08/2020,ME,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
02/09/2020,ME,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
03/09/2020,ME,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
02/10/2020,ME,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
03/10/2020,ME,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
07/10/2020,ME,3499,3110,389,0,0,111,111,0,0,-1,07/11/2020 18:25,Agree,Agree
10/10/2020,ME,5696,5105,591,0,0,143,142,1,0,0,10/11/2020 13:47,Agree,Agree
02/11/2020,ME,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
03/11/2020,ME,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
06/11/2020,ME,2667,2380,287,0,0,100,100,0,0,-1,06/12/2020 14:17,Agree,Agree
11/11/2020,ME,8202,7300,902,0,0,158,157,1,0,0,11/12/2020 14:55,Agree,Agree
02/12/2020,ME,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
01/22/2020,ME,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
01/23/2020,ME,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
01/24/2020,ME,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
01/25/2020,ME,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
01/26/2020,ME,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
01/27/2020,ME,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
01/28/2020,ME,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
01/29/2020,ME,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
01/30/2020,ME,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
01/31/2020,ME,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
02/13/2020,ME,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
02/14/2020,ME,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
02/15/2020,ME,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
02/16/2020,ME,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
02/17/2020,ME,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
02/18/2020,ME,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
02/19/2020,ME,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
02/20/2020,ME,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
