location_id,state,average_temperature,month
100,Alabama,45.1,January
100,Alabama,48,February
100,Alabama,55.1,March
100,Alabama,62.8,April
100,Alabama,70.7,May
100,Alabama,77.5,June
100,Alabama,79.9,July
100,Alabama,79.3,August
100,Alabama,74.7,September
100,Alabama,63.9,October
100,Alabama,53.5,November
100,Alabama,46.4,December
200,Arizona,40.7,January
200,Arizona,44.7,February
200,Arizona,49.5,March
200,Arizona,56.7,April
200,Arizona,65,May
200,Arizona,74.4,June
200,Arizona,79.7,July
200,Arizona,77.8,August
200,Arizona,72,September
200,Arizona,61,October
200,Arizona,49.2,November
200,Arizona,41.5,December
300,Arkansas,39.3,January
300,Arkansas,43.1,February
300,Arkansas,51.3,March
300,Arkansas,60.5,April
300,Arkansas,68.7,May
300,Arkansas,76.5,June
300,Arkansas,80.3,July
300,Arkansas,79.3,August
300,Arkansas,72.8,September
300,Arkansas,61.8,October
300,Arkansas,49.9,November
300,Arkansas,41.5,December
400,California,42.3,January
400,California,45.3,February
400,California,48.8,March
400,California,54,April
400,California,60.7,May
400,California,68.2,June
400,California,74.7,July
400,California,73.7,August
400,California,68.5,September
400,California,59.5,October
400,California,49.5,November
400,California,43.1,December
500,Colorado,23.7,January
500,Colorado,27.4,February
500,Colorado,33.7,March
500,Colorado,42.5,April
500,Colorado,51.8,May
500,Colorado,61.2,June
500,Colorado,67.1,July
500,Colorado,65.2,August
500,Colorado,57.3,September
500,Colorado,46.5,October
500,Colorado,33.5,November
500,Colorado,25.2,December
600,Connecticut,25.4,January
600,Connecticut,26.3,February
600,Connecticut,35.4,March
600,Connecticut,46,April
600,Connecticut,56.8,May
600,Connecticut,65.4,June
600,Connecticut,70.7,July
600,Connecticut,68.6,August
600,Connecticut,61.5,September
600,Connecticut,51,October
600,Connecticut,40.2,November
600,Connecticut,29.2,December
700,Delaware,33.3,January
700,Delaware,34.4,February
700,Delaware,42.7,March
700,Delaware,52,April
700,Delaware,62.1,May
700,Delaware,70.7,June
700,Delaware,75.5,July
700,Delaware,73.7,August
700,Delaware,67.4,September
700,Delaware,56.4,October
700,Delaware,45.7,November
700,Delaware,36.2,December
800,Florida,57.8,January
800,Florida,59.4,February
800,Florida,64,March
800,Florida,69.3,April
800,Florida,75.1,May
800,Florida,79.5,June
800,Florida,81,July
800,Florida,81,August
800,Florida,79.1,September
800,Florida,72.3,October
800,Florida,64.3,November
800,Florida,58.8,December
900,Georgia,46.1,January
900,Georgia,48.6,February
900,Georgia,55.4,March
900,Georgia,63,April
900,Georgia,71,May
900,Georgia,77.4,June
900,Georgia,79.7,July
900,Georgia,79,August
900,Georgia,74.5,September
900,Georgia,64.2,October
900,Georgia,54.2,November
900,Georgia,47.1,December
1000,Idaho,22,January
1000,Idaho,26.4,February
1000,Idaho,32.6,March
1000,Idaho,41,April
1000,Idaho,49.3,May
1000,Idaho,56.7,June
1000,Idaho,65.1,July
1000,Idaho,63.6,August
1000,Idaho,54.7,September
1000,Idaho,44.1,October
1000,Idaho,31.6,November
1000,Idaho,23.9,December
1100,Illinois,25.3,January
1100,Illinois,29.2,February
1100,Illinois,39.8,March
1100,Illinois,51.5,April
1100,Illinois,62.1,May
1100,Illinois,71.4,June
1100,Illinois,75.6,July
1100,Illinois,73.4,August
1100,Illinois,66.2,September
1100,Illinois,54.6,October
1100,Illinois,40.8,November
1100,Illinois,29.4,December
1200,Indiana,26.5,January
1200,Indiana,29.4,February
1200,Indiana,39.5,March
1200,Indiana,50.6,April
1200,Indiana,61.3,May
1200,Indiana,70.5,June
1200,Indiana,74.5,July
1200,Indiana,72.3,August
1200,Indiana,65.7,September
1200,Indiana,53.9,October
1200,Indiana,41.1,November
1200,Indiana,30.3,December
1300,Iowa,17.7,January
1300,Iowa,22.7,February
1300,Iowa,34.6,March
1300,Iowa,48.1,April
1300,Iowa,59.8,May
1300,Iowa,69.1,June
1300,Iowa,73.9,July
1300,Iowa,71.4,August
1300,Iowa,63,September
1300,Iowa,51.4,October
1300,Iowa,35.7,November
1300,Iowa,22.7,December
1400,Kansas,28.6,January
1400,Kansas,33.6,February
1400,Kansas,42.4,March
1400,Kansas,53.5,April
1400,Kansas,63.4,May
1400,Kansas,73.4,June
1400,Kansas,78.9,July
1400,Kansas,77.3,August
1400,Kansas,68.6,September
1400,Kansas,56.5,October
1400,Kansas,42,November
1400,Kansas,31.5,December
1500,Kentucky,33.6,January
1500,Kentucky,36.5,February
1500,Kentucky,45.4,March
1500,Kentucky,55.2,April
1500,Kentucky,64.4,May
1500,Kentucky,72.6,June
1500,Kentucky,76.3,July
1500,Kentucky,74.8,August
1500,Kentucky,68.6,September
1500,Kentucky,57,October
1500,Kentucky,45.3,November
1500,Kentucky,36.2,December
1600,Louisiana,49.3,January
1600,Louisiana,52.4,February
1600,Louisiana,59,March
1600,Louisiana,66.3,April
1600,Louisiana,73.4,May
1600,Louisiana,79.8,June
1600,Louisiana,81.9,July
1600,Louisiana,81.6,August
1600,Louisiana,77.2,September
1600,Louisiana,67.4,October
1600,Louisiana,57.4,November
1600,Louisiana,50.9,December
1700,Maine,13.2,January
1700,Maine,14.9,February
1700,Maine,25.9,March
1700,Maine,38.3,April
1700,Maine,50.5,May
1700,Maine,59.8,June
1700,Maine,65.3,July
1700,Maine,63,August
1700,Maine,54.9,September
1700,Maine,44.3,October
1700,Maine,32.3,November
1700,Maine,18.7,December
1800,Maryland,32.4,January
1800,Maryland,33.8,February
1800,Maryland,42.5,March
1800,Maryland,52.1,April
1800,Maryland,62.3,May
1800,Maryland,70.6,June
1800,Maryland,75.1,July
1800,Maryland,73.2,August
1800,Maryland,67,September
1800,Maryland,55.8,October
1800,Maryland,44.8,November
1800,Maryland,35.3,December
1900,Massachusetts,24.1,January
1900,Massachusetts,25,February
1900,Massachusetts,34.2,March
1900,Massachusetts,44.7,April
1900,Massachusetts,55.7,May
1900,Massachusetts,64.4,June
1900,Massachusetts,69.7,July
1900,Massachusetts,67.5,August
1900,Massachusetts,60.4,September
1900,Massachusetts,50,October
1900,Massachusetts,39.2,November
1900,Massachusetts,28.1,December
2000,Michigan,18.1,January
2000,Michigan,19.1,February
2000,Michigan,29,March
2000,Michigan,41.9,April
2000,Michigan,53.6,May
2000,Michigan,63.3,June
2000,Michigan,68.1,July
2000,Michigan,65.9,August
2000,Michigan,58.5,September
2000,Michigan,47.5,October
2000,Michigan,34.6,November
2000,Michigan,23.3,December
2100,Minnesota,6.5,January
2100,Minnesota,12.1,February
2100,Minnesota,25.3,March
2100,Minnesota,41.3,April
2100,Minnesota,54.2,May
2100,Minnesota,63.7,June
