"average_temperature","cases","state"
46.4,111702,"Alabama"
41.5,67779,"Arkansas"
41.5,193390,"Arizona"
43.1,1032411,"California"
25.2,101192,"Colorado"
29.2,68413,"Connecticut"
36.2,21721,"Delaware"
58.8,317158,"Florida"
47.1,194889,"Georgia"
22.7,51221,"Iowa"
23.9,39379,"Idaho"
29.4,237085,"Illinois"
30.3,172508,"Indiana"
31.5,64987,"Kansas"
36.2,86221,"Kentucky"
50.9,82861,"Louisiana"
28.1,141116,"Massachusetts"
35.3,79084,"Maryland"
18.7,12225,"Maine"
23.3,139679,"Michigan"
12.9,96539,"Minnesota"
33,92808,"Missouri"
46.8,63975,"Mississippi"
20.6,19357,"Montana"
41.5,175033,"North Carolina"
12.7,13115,"North Dakota"
25.3,38391,"Nebraska"
21.7,23034,"New Hampshire"
33,160001,"New Jersey"
34.3,45769,"New Mexico"
31.2,72562,"Nevada"
24.5,329359,"New York"
30.4,279317,"Ohio"
38.9,96149,"Oklahoma"
31.8,38478,"Oregon"
28.9,278847,"Pennsylvania"
31,31226,"Rhode Island"
45.6,90020,"South Carolina"
19.7,18700,"South Dakota"
39.2,212309,"Tennessee"
46.9,477740,"Texas"
27,80906,"Utah"
36.8,114703,"Virginia"
20.2,3240,"Vermont"
30.6,81733,"Washington"
18.1,108708,"Wisconsin"
33.1,37492,"West Virginia"
20.6,11104,"Wyoming"
