"average_temperature","deaths","state"
46.4,1249,"Alabama"
41.5,1174,"Arkansas"
41.5,2225,"Arizona"
43.1,6245,"California"
25.2,1777,"Colorado"
29.2,975,"Connecticut"
36.2,153,"Delaware"
58.8,3076,"Florida"
47.1,1482,"Georgia"
22.7,1488,"Iowa"
23.9,507,"Idaho"
29.4,4993,"Illinois"
30.3,2541,"Indiana"
31.5,1181,"Kansas"
36.2,715,"Kentucky"
50.9,1068,"Louisiana"
28.1,1645,"Massachusetts"
35.3,1269,"Maryland"
18.7,133,"Maine"
23.3,3454,"Michigan"
12.9,1730,"Minnesota"
33,1690,"Missouri"
46.8,980,"Mississippi"
20.6,280,"Montana"
41.5,1487,"North Carolina"
12.7,355,"North Dakota"
25.3,633,"Nebraska"
21.7,232,"New Hampshire"
33,2049,"New Jersey"
34.3,909,"New Mexico"
31.2,981,"Nevada"
24.5,3463,"New York"
30.4,2533,"Ohio"
38.9,782,"Oklahoma"
31.8,565,"Oregon"
28.9,5595,"Pennsylvania"
31,404,"Rhode Island"
45.6,915,"South Carolina"
19.7,542,"South Dakota"
39.2,2305,"Tennessee"
46.9,6058,"Texas"
27,398,"Utah"
36.8,988,"Virginia"
20.2,67,"Vermont"
30.6,687,"Washington"
18.1,1748,"Wisconsin"
33.1,603,"West Virginia"
20.6,223,"Wyoming"
