"average_temperature","cases","state"
79.9,49803,"Alabama"
80.3,21734,"Arkansas"
79.7,94795,"Arizona"
74.7,270671,"California"
67.1,14094,"Colorado"
70.7,3296,"Connecticut"
75.5,3367,"Delaware"
81,315249,"Florida"
79.7,109057,"Georgia"
73.9,15635,"Iowa"
65.1,14604,"Idaho"
75.6,35880,"Illinois"
74.5,20560,"Indiana"
78.9,13369,"Kansas"
76.3,14527,"Kentucky"
81.9,58185,"Louisiana"
69.7,8730,"Massachusetts"
75.1,21447,"Maryland"
65.3,643,"Maine"
68.1,19846,"Michigan"
68.8,18472,"Minnesota"
77.7,28772,"Missouri"
80.8,31981,"Mississippi"
65.7,2947,"Montana"
76.9,58344,"North Carolina"
69,3026,"North Dakota"
74.5,7034,"Nebraska"
66.5,801,"New Hampshire"
73.5,9993,"New Jersey"
72.7,8453,"New Mexico"
72.1,29628,"Nevada"
68.2,21339,"New York"
73,39370,"Ohio"
81.7,25888,"Oklahoma"
64.8,9837,"Oregon"
70.4,25694,"Pennsylvania"
70.3,2209,"Rhode Island"
79.9,52617,"South Carolina"
72.6,2000,"South Dakota"
77.1,62450,"Tennessee"
82.3,260960,"Texas"
71.5,18051,"Utah"
74.7,28014,"Virginia"
65.9,206,"Vermont"
64,22979,"Washington"
68.9,25272,"Wisconsin"
71.9,3737,"West Virginia"
65.3,1239,"Wyoming"
