"average_temperature","deaths","state"
79.9,634,"Alabama"
80.3,183,"Arkansas"
79.7,2062,"Arizona"
74.7,3025,"California"
67.1,148,"Colorado"
70.7,110,"Connecticut"
75.5,76,"Delaware"
81,3338,"Florida"
79.7,947,"Georgia"
73.9,153,"Iowa"
65.1,97,"Idaho"
75.6,568,"Illinois"
74.5,325,"Indiana"
78.9,88,"Kansas"
76.3,170,"Kentucky"
81.9,728,"Louisiana"
69.7,555,"Massachusetts"
75.1,301,"Maryland"
65.3,18,"Maine"
68.1,257,"Michigan"
68.8,164,"Minnesota"
77.7,228,"Missouri"
80.8,611,"Mississippi"
65.7,38,"Montana"
76.9,581,"North Carolina"
69,24,"North Dakota"
74.5,58,"Nebraska"
66.5,44,"New Hampshire"
73.5,784,"New Jersey"
72.7,145,"New Mexico"
72.1,327,"Nevada"
68.2,593,"New York"
73,626,"Ohio"
81.7,140,"Oklahoma"
64.8,115,"Oregon"
70.4,517,"Pennsylvania"
70.3,57,"Rhode Island"
79.9,973,"South Carolina"
72.6,39,"South Dakota"
77.1,456,"Tennessee"
82.3,4145,"Texas"
71.5,134,"Utah"
74.7,452,"Virginia"
65.9,1,"Vermont"
64,232,"Washington"
68.9,150,"Wisconsin"
71.9,23,"West Virginia"
65.3,6,"Wyoming"
