"average_temperature","cases","state"
53.5,57239,"Alabama"
49.9,45169,"Arkansas"
49.2,80871,"Arizona"
49.5,290963,"California"
33.5,125555,"Colorado"
40.2,46088,"Connecticut"
45.7,11217,"Delaware"
64.3,191373,"Florida"
54.2,82570,"Georgia"
35.7,101482,"Iowa"
31.6,37090,"Idaho"
40.8,309745,"Illinois"
41.1,159619,"Indiana"
42,72265,"Kansas"
45.3,71822,"Kentucky"
57.4,45765,"Louisiana"
39.2,63808,"Massachusetts"
44.8,54990,"Maryland"
32.3,5308,"Maine"
34.6,191536,"Michigan"
27.9,170291,"Minnesota"
43.6,114227,"Missouri"
53.9,33911,"Mississippi"
29.5,29397,"Montana"
49.3,89887,"North Carolina"
26.4,34612,"North Dakota"
35.9,57675,"Nebraska"
34.1,9910,"New Hampshire"
43.1,99418,"New Jersey"
42.1,50605,"New Mexico"
38.9,51406,"Nevada"
36.3,146166,"New York"
40.8,205366,"Ohio"
48.4,76808,"Oklahoma"
37.7,30510,"Oregon"
39.3,153451,"Pennsylvania"
41.5,23849,"Rhode Island"
53.1,40875,"South Carolina"
31.7,34472,"South Dakota"
47.4,113821,"Tennessee"
54.6,267515,"Texas"
36,81050,"Utah"
45.5,57671,"Virginia"
33.2,2015,"Vermont"
36.6,57518,"Washington"
31.6,173860,"Wisconsin"
42.1,23382,"West Virginia"
29,20007,"Wyoming"
