"average_temperature","deaths","state"
53.5,611,"Alabama"
49.9,577,"Arkansas"
49.2,660,"Arizona"
49.5,1515,"California"
33.5,752,"Colorado"
40.2,404,"Connecticut"
45.7,67,"Delaware"
64.3,1836,"Florida"
54.2,1473,"Georgia"
35.7,687,"Iowa"
31.6,300,"Idaho"
40.8,2945,"Illinois"
41.1,1390,"Indiana"
42,531,"Kansas"
45.3,423,"Kentucky"
57.4,501,"Louisiana"
39.2,746,"Massachusetts"
44.8,521,"Maryland"
32.3,67,"Maine"
34.6,1865,"Michigan"
27.9,1141,"Minnesota"
43.6,803,"Missouri"
53.9,488,"Mississippi"
29.5,306,"Montana"
49.3,883,"North Carolina"
26.4,423,"North Dakota"
35.9,366,"Nebraska"
34.1,43,"New Hampshire"
43.1,643,"New Jersey"
42.1,550,"New Mexico"
38.9,367,"Nevada"
36.3,1014,"New York"
40.8,1128,"Ohio"
48.4,408,"Oklahoma"
37.7,223,"Oregon"
39.3,1571,"Pennsylvania"
41.5,172,"Rhode Island"
53.1,446,"South Carolina"
31.7,521,"South Dakota"
47.4,1249,"Tennessee"
54.6,3355,"Texas"
36,267,"Utah"
45.5,438,"Virginia"
33.2,11,"Vermont"
36.6,408,"Washington"
31.6,1402,"Wisconsin"
42.1,278,"West Virginia"
29,128,"Wyoming"
