,tot_cases,avg_temp
Colorado,268589,44.5
Florida,1056065,70
Arizona,378157,59.5
South Carolina,236954,62.5
Connecticut,138258,48
Nebraska,142603,48.5
Kentucky,205668,55.5
Wyoming,37475,41
Iowa,246811,47.5
New Mexico,109947,53
North Dakota,86150,39.5
Washington,187327,46
Tennessee,414749,57.5
Massachusetts,263545,47
Pennsylvania,436614,48
Ohio,510018,50.5
Virginia,267129,55
Michigan,443076,43.5
Alabama,276665,63
Mississippi,171584,63.5
Georgia,512267,63.5
Wisconsin,448009,42.5
Illinois,804174,51.5
Idaho,113905,42.5
Louisiana,254562,66.5
Oklahoma,205999,59.5
Texas,1272504,64.5
Arkansas,174325,60.5
Minnesota,359203,40
New Jersey,377055,51.5
California,1389707,57.5
Maryland,222653,53.5
Nevada,173281,49.5
New York,733443,44.5
Indiana,392663,51.5
Oregon,87082,46.5
West Virginia,57060,51.5
Utah,219971,47.5
Missouri,328206,54.5
Delaware,42393,54
South Dakota,87038,44.5
Rhode Island,67067,48.5
New Hampshire,26623,42.5
Kansas,174025,54
North Carolina,404032,58.5
Montana,69346,41
Maine,14455,40
Vermont,5180,41.5
