,tot_deaths,avg_temp
Colorado,3372,44.5
Florida,19378,70
Arizona,6973,59.5
South Carolina,4585,62.5
Connecticut,5242,48
Nebraska,1277,48.5
Kentucky,2102,55.5
Wyoming,280,41
Iowa,2919,47.5
New Mexico,1756,53
North Dakota,1080,39.5
Washington,2967,46
Tennessee,5109,57.5
Massachusetts,11041,47
Pennsylvania,11542,48
Ohio,7103,50.5
Virginia,4281,55
Michigan,10625,43.5
Alabama,3942,63
Mississippi,4042,63.5
Georgia,9873,63.5
Wisconsin,4054,42.5
Illinois,14384,51.5
Idaho,1074,42.5
Louisiana,6652,66.5
Oklahoma,1752,59.5
Texas,22808,64.5
Arkansas,2752,60.5
Minnesota,4086,40
New Jersey,17426,51.5
California,20047,57.5
Maryland,4962,53.5
Nevada,2359,49.5
New York,34851,44.5
Indiana,6410,51.5
Oregon,1080,46.5
West Virginia,870,51.5
Utah,972,47.5
Missouri,4355,54.5
Delaware,803,54
South Dakota,1111,44.5
Rhode Island,1470,48.5
New Hampshire,566,42.5
Kansas,1856,54
North Carolina,5605,58.5
Montana,763,41
Maine,246,40
Vermont,85,41.5
