submission_date,new_case,new_death
01/26/2020,0,0
01/27/2020,0,0
01/28/2020,0,0
01/29/2020,0,0
01/30/2020,0,0
01/31/2020,0,0
02/01/2020,0,0
02/02/2020,0,0
02/03/2020,0,0
02/04/2020,0,0
02/05/2020,0,0
02/06/2020,0,0
02/07/2020,0,0
02/08/2020,0,0
02/09/2020,0,0
02/10/2020,0,0
02/11/2020,0,0
02/12/2020,0,0
02/13/2020,0,0
02/14/2020,0,0
02/15/2020,0,0
02/16/2020,0,0
02/17/2020,0,0
02/18/2020,0,0
02/19/2020,0,0
02/20/2020,0,0
02/21/2020,0,0
02/22/2020,0,0
02/23/2020,0,0
02/24/2020,0,0
02/25/2020,0,0
02/26/2020,0,0
02/27/2020,0,0
02/28/2020,0,0
02/29/2020,0,0
03/01/2020,0,0
03/02/2020,1,0
03/03/2020,1,0
03/04/2020,0,0
03/05/2020,1,0
03/06/2020,0,0
03/07/2020,3,0
03/08/2020,0,0
03/09/2020,13,2
03/10/2020,0,0
03/11/2020,7,0
03/12/2020,5,0
03/13/2020,0,0
03/14/2020,24,1
03/15/2020,81,1
03/16/2020,6,1
03/17/2020,53,2
03/18/2020,104,1
03/19/2020,94,1
03/20/2020,117,2
03/21/2020,196,1
03/22/2020,231,1
03/23/2020,204,4
03/24/2020,232,3
03/25/2020,488,3
03/26/2020,491,6
03/27/2020,702,17
03/28/2020,823,10
03/29/2020,891,4
03/30/2020,721,11
03/31/2020,1001,14
04/01/2020,1005,16
04/02/2020,1199,43
04/03/2020,1231,26
04/04/2020,1248,25
04/05/2020,788,26
04/06/2020,1253,33
04/07/2020,1088,42
04/08/2020,932,27
04/09/2020,1089,48
04/10/2020,1125,48
04/11/2020,997,27
04/12/2020,892,15
04/13/2020,1057,38
04/14/2020,590,72
04/15/2020,881,43
04/16/2020,809,54
04/17/2020,1392,58
04/18/2020,731,22
04/19/2020,801,26
04/20/2020,731,49
04/21/2020,798,44
04/22/2020,664,60
04/23/2020,1052,60
04/24/2020,864,59
04/25/2020,289,9
04/26/2020,684,19
04/27/2020,610,14
04/28/2020,696,83
04/29/2020,332,47
04/30/2020,1372,50
05/01/2020,1038,46
05/02/2020,735,50
05/03/2020,506,35
05/04/2020,928,36
05/05/2020,542,36
05/06/2020,563,68
05/07/2020,826,61
05/08/2020,371,69
05/09/2020,802,46
05/10/2020,547,20
05/11/2020,547,22
05/12/2020,941,22
05/13/2020,479,48
05/14/2020,808,48
05/15/2020,935,42
05/16/2020,935,47
05/17/2020,777,9
05/18/2020,854,24
05/19/2020,502,55
05/20/2020,527,44
05/21/2020,1204,48
05/22/2020,776,46
05/23/2020,676,43
05/24/2020,740,4
05/25/2020,879,15
05/26/2020,509,7
05/27/2020,379,60
05/28/2020,598,45
05/29/2020,598,49
05/30/2020,915,34
05/31/2020,735,4
06/01/2020,651,9
06/02/2020,586,70
06/03/2020,1292,36
06/04/2020,1408,41
06/05/2020,1292,53
06/06/2020,1253,28
06/07/2020,1170,12
06/08/2020,962,12
06/09/2020,1070,53
06/10/2020,1331,36
06/11/2020,1677,47
06/12/2020,1885,29
06/13/2020,2248,48
06/14/2020,2061,6
06/15/2020,1738,7
06/16/2020,2740,55
06/17/2020,2548,25
06/18/2020,3178,43
06/19/2020,3789,43
06/20/2020,4027,40
06/21/2020,3469,17
06/22/2020,2908,12
06/23/2020,3256,65
06/24/2020,5440,43
06/25/2020,4981,46
06/26/2020,8850,39
06/27/2020,9518,24
06/28/2020,8475,29
06/29/2020,5238,28
06/30/2020,5976,58
07/01/2020,6507,45
07/02/2020,10015,67
07/03/2020,9415,67
07/04/2020,11372,18
07/05/2020,9986,29
07/06/2020,6300,47
07/07/2020,7218,63
07/08/2020,9882,112
07/09/2020,8891,56
07/10/2020,11343,93
07/11/2020,10274,95
07/12/2020,15135,45
07/13/2020,12548,35
07/14/2020,9122,132
07/15/2020,10087,112
07/16/2020,13764,156
07/17/2020,11362,128
07/18/2020,10199,90
07/19/2020,12411,87
07/20/2020,10287,90
07/21/2020,9345,134
07/22/2020,9676,139
07/23/2020,10171,173
07/24/2020,12379,135
07/25/2020,12115,124
07/26/2020,9259,77
07/27/2020,8854,77
07/28/2020,9169,186
07/29/2020,9384,216
07/30/2020,9854,253
07/31/2020,8925,257
08/01/2020,9591,179
08/02/2020,7047,62
08/03/2020,4758,208
08/04/2020,5347,110
08/05/2020,5408,225
08/06/2020,7587,120
08/07/2020,7653,180
08/08/2020,8425,182
08/09/2020,6190,77
08/10/2020,4152,173
08/11/2020,5793,194
08/12/2020,8059,212
08/13/2020,6192,148
08/14/2020,6105,228
08/15/2020,6291,204
08/16/2020,3747,107
08/17/2020,2649,87
08/18/2020,3787,219
08/19/2020,4080,174
08/20/2020,4516,117
08/21/2020,4616,119
08/22/2020,4260,106
08/23/2020,3004,51
08/24/2020,2224,72
08/25/2020,2665,183
08/26/2020,2937,153
08/27/2020,3229,135
08/28/2020,3732,89
08/29/2020,3132,148
08/30/2020,2547,14
08/31/2020,1876,68
09/01/2020,7487,187
09/02/2020,2310,127
09/03/2020,3487,149
09/04/2020,3147,100
09/05/2020,3593,61
09/06/2020,2513,38
09/07/2020,1812,22
09/08/2020,1797,44
09/09/2020,2006,200
