submission_date,new_case,new_death
01/26/2020,0,0
01/27/2020,0,0
01/28/2020,0,0
01/29/2020,0,0
01/30/2020,0,0
01/31/2020,0,0
02/01/2020,0,0
02/02/2020,0,0
02/03/2020,0,0
02/04/2020,0,0
02/05/2020,0,0
02/06/2020,0,0
02/07/2020,0,0
02/08/2020,0,0
02/09/2020,0,0
02/10/2020,0,0
02/11/2020,0,0
02/12/2020,0,0
02/13/2020,0,0
02/14/2020,0,0
02/15/2020,0,0
02/16/2020,0,0
02/17/2020,0,0
02/18/2020,0,0
02/19/2020,0,0
02/20/2020,0,0
02/21/2020,0,0
02/22/2020,0,0
02/23/2020,0,0
02/24/2020,0,0
02/25/2020,0,0
02/26/2020,0,0
02/27/2020,0,0
02/28/2020,0,0
02/29/2020,0,0
03/01/2020,0,0
03/02/2020,0,0
03/03/2020,0,0
03/04/2020,0,0
03/05/2020,0,0
03/06/2020,1,0
03/07/2020,0,0
03/08/2020,1,0
03/09/2020,1,0
03/10/2020,2,0
03/11/2020,4,0
03/12/2020,3,0
03/13/2020,0,0
03/14/2020,0,0
03/15/2020,7,0
03/16/2020,5,1
03/17/2020,6,1
03/18/2020,9,0
03/19/2020,17,0
03/20/2020,23,1
03/21/2020,47,1
03/22/2020,75,2
03/23/2020,58,1
03/24/2020,106,5
03/25/2020,112,2
03/26/2020,168,3
03/27/2020,336,7
03/28/2020,251,7
03/29/2020,282,1
03/30/2020,272,3
03/31/2020,373,14
04/01/2020,406,16
04/02/2020,474,13
04/03/2020,418,24
04/04/2020,496,14
04/05/2020,458,11
04/06/2020,533,12
04/07/2020,563,34
04/08/2020,436,30
04/09/2020,408,42
04/10/2020,556,55
04/11/2020,528,50
04/12/2020,493,12
04/13/2020,308,13
04/14/2020,291,12
04/15/2020,428,49
04/16/2020,587,41
04/17/2020,612,42
04/18/2020,487,26
04/19/2020,569,17
04/20/2020,476,7
04/21/2020,411,61
04/22/2020,341,31
04/23/2020,601,45
04/24/2020,641,35
04/25/2020,715,131
04/26/2020,617,29
04/27/2020,949,31
04/28/2020,627,60
04/29/2020,594,73
04/30/2020,653,49
05/01/2020,795,61
05/02/2020,665,54
05/03/2020,638,17
05/04/2020,574,18
05/05/2020,526,62
05/06/2020,837,51
05/07/2020,633,37
05/08/2020,643,33
05/09/2020,586,43
05/10/2020,394,18
05/11/2020,501,32
05/12/2020,500,38
05/13/2020,346,41
05/14/2020,580,27
05/15/2020,602,45
05/16/2020,625,50
05/17/2020,498,10
05/18/2020,477,14
05/19/2020,450,59
05/20/2020,569,40
05/21/2020,662,49
05/22/2020,473,28
05/23/2020,492,23
05/24/2020,475,12
05/25/2020,339,8
05/26/2020,363,20
05/27/2020,359,26
05/28/2020,631,38
05/29/2020,490,42
05/30/2020,653,15
05/31/2020,363,9
06/01/2020,256,8
06/02/2020,407,55
06/03/2020,475,10
06/04/2020,384,24
06/05/2020,482,27
06/06/2020,419,34
06/07/2020,400,11
06/08/2020,226,13
06/09/2020,410,23
06/10/2020,304,16
06/11/2020,411,25
06/12/2020,398,16
06/13/2020,397,17
06/14/2020,366,9
06/15/2020,521,11
06/16/2020,356,14
06/17/2020,227,28
06/18/2020,425,16
06/19/2020,308,25
06/20/2020,315,20
06/21/2020,362,4
06/22/2020,210,13
06/23/2020,238,16
06/24/2020,269,9
06/25/2020,515,8
06/26/2020,485,9
06/27/2020,435,21
06/28/2020,355,3
06/29/2020,298,5
06/30/2020,366,16
07/01/2020,358,10
07/02/2020,435,12
07/03/2020,528,19
07/04/2020,517,6
07/05/2020,576,6
07/06/2020,323,5
07/07/2020,295,19
07/08/2020,437,15
07/09/2020,512,7
07/10/2020,725,9
07/11/2020,779,8
07/12/2020,533,4
07/13/2020,425,2
07/14/2020,648,13
07/15/2020,685,10
07/16/2020,710,10
07/17/2020,733,8
07/18/2020,841,17
07/19/2020,917,2
07/20/2020,635,3
07/21/2020,710,21
07/22/2020,757,17
07/23/2020,929,17
07/24/2020,996,4
07/25/2020,922,11
07/26/2020,852,8
07/27/2020,535,3
07/28/2020,771,18
07/29/2020,621,8
07/30/2020,954,14
07/31/2020,901,19
08/01/2020,968,6
08/02/2020,735,4
08/03/2020,576,5
08/04/2020,822,16
08/05/2020,720,11
08/06/2020,1040,6
08/07/2020,1239,10
08/08/2020,1033,13
08/09/2020,1041,5
08/10/2020,664,3
08/11/2020,870,25
08/12/2020,660,17
08/13/2020,1043,19
08/14/2020,1067,8
08/15/2020,1044,15
08/16/2020,739,5
08/17/2020,591,2
08/18/2020,841,30
08/19/2020,489,15
08/20/2020,941,11
08/21/2020,1040,17
08/22/2020,1000,10
08/23/2020,615,2
08/24/2020,1660,5
08/25/2020,829,16
08/26/2020,938,18
08/27/2020,1145,7
08/28/2020,809,11
08/29/2020,1121,8
08/30/2020,879,6
08/31/2020,883,5
09/01/2020,695,16
09/02/2020,859,13
09/03/2020,1104,7
09/04/2020,1030,18
09/05/2020,1077,12
09/06/2020,843,2
09/07/2020,590,4
09/08/2020,386,12
09/09/2020,705,17
09/10/2020,758,13
09/11/2020,1262,10
09/12/2020,1056,17
09/13/2020,1243,1
09/14/2020,736,1
09/15/2020,689,21
09/16/2020,580,12
09/17/2020,837,6
