submission_date,new_case,new_death
01/26/2020,0,0
01/27/2020,0,0
01/28/2020,0,0
01/29/2020,0,0
01/30/2020,0,0
01/31/2020,0,0
02/01/2020,0,0
02/02/2020,0,0
02/03/2020,0,0
02/04/2020,0,0
02/05/2020,0,0
02/06/2020,0,0
02/07/2020,0,0
02/08/2020,0,0
02/09/2020,0,0
02/10/2020,0,0
02/11/2020,0,0
02/12/2020,0,0
02/13/2020,0,0
02/14/2020,0,0
02/15/2020,0,0
02/16/2020,0,0
02/17/2020,0,0
02/18/2020,0,0
02/19/2020,0,0
02/20/2020,0,0
02/21/2020,0,0
02/22/2020,0,0
02/23/2020,0,0
02/24/2020,0,0
02/25/2020,0,0
02/26/2020,0,0
02/27/2020,0,0
02/28/2020,0,0
02/29/2020,0,0
03/01/2020,0,0
03/02/2020,0,0
03/03/2020,0,0
03/04/2020,0,0
03/05/2020,0,0
03/06/2020,0,0
03/07/2020,0,0
03/08/2020,0,0
03/09/2020,0,0
03/10/2020,0,0
03/11/2020,0,0
03/12/2020,1,0
03/13/2020,0,0
03/14/2020,0,0
03/15/2020,0,0
03/16/2020,0,0
03/17/2020,4,0
03/18/2020,2,0
03/19/2020,12,0
03/20/2020,7,0
03/21/2020,2,0
03/22/2020,2,0
03/23/2020,2,0
03/24/2020,5,0
03/25/2020,8,0
03/26/2020,13,0
03/27/2020,10,1
03/28/2020,26,0
03/29/2020,4,0
03/30/2020,11,2
03/31/2020,17,0
04/01/2020,21,0
04/02/2020,12,0
04/03/2020,14,0
04/04/2020,13,0
04/05/2020,21,0
04/06/2020,18,0
04/07/2020,12,1
04/08/2020,14,0
04/09/2020,18,1
04/10/2020,9,1
04/11/2020,15,1
04/12/2020,15,1
04/13/2020,23,0
04/14/2020,10,1
04/15/2020,24,0
04/16/2020,28,0
04/17/2020,46,0
04/18/2020,89,0
04/19/2020,57,1
04/20/2020,42,3
04/21/2020,17,0
04/22/2020,35,1
04/23/2020,30,1
04/24/2020,39,0
04/25/2020,55,1
04/26/2020,64,1
04/27/2020,75,2
04/28/2020,49,0
04/29/2020,42,0
04/30/2020,34,0
05/01/2020,40,4
05/02/2020,46,1
05/03/2020,38,1
05/04/2020,34,0
05/05/2020,41,0
05/06/2020,57,6
05/07/2020,48,0
05/08/2020,54,2
05/09/2020,39,2
05/10/2020,27,0
05/11/2020,27,1
05/12/2020,53,2
05/13/2020,76,2
05/14/2020,65,0
05/15/2020,49,2
05/16/2020,87,0
05/17/2020,52,1
05/18/2020,31,1
05/19/2020,63,1
05/20/2020,101,4
05/21/2020,134,2
05/22/2020,88,1
05/23/2020,48,0
05/24/2020,53,1
05/25/2020,39,1
05/26/2020,9,0
05/27/2020,9,2
05/28/2020,42,1
05/29/2020,39,2
05/30/2020,34,1
05/31/2020,23,1
06/01/2020,48,0
06/02/2020,21,4
06/03/2020,33,1
06/04/2020,27,0
06/05/2020,39,5
06/06/2020,71,1
06/07/2020,45,0
06/08/2020,19,0
06/09/2020,21,0
06/10/2020,40,1
06/11/2020,39,1
06/12/2020,36,0
06/13/2020,42,0
06/14/2020,22,0
06/15/2020,21,3
06/16/2020,23,0
06/17/2020,42,0
06/18/2020,27,1
06/19/2020,33,1
06/20/2020,25,0
06/21/2020,37,1
06/22/2020,25,0
06/23/2020,7,1
06/24/2020,42,0
06/25/2020,31,0
06/26/2020,28,9
06/27/2020,37,0
06/28/2020,37,1
06/29/2020,44,0
06/30/2020,37,0
07/01/2020,39,1
07/02/2020,42,0
07/03/2020,65,9
07/04/2020,57,0
07/05/2020,37,0
07/06/2020,33,0
07/07/2020,49,4
07/08/2020,73,5
07/09/2020,99,0
07/10/2020,84,0
07/11/2020,89,2
07/12/2020,91,0
07/13/2020,108,0
07/14/2020,123,1
07/15/2020,103,1
07/16/2020,124,0
07/17/2020,115,1
07/18/2020,112,2
07/19/2020,107,1
07/20/2020,81,1
07/21/2020,160,2
07/22/2020,126,1
07/23/2020,121,2
07/24/2020,122,0
07/25/2020,140,0
07/26/2020,110,0
07/27/2020,155,1
07/28/2020,86,2
07/29/2020,74,1
07/30/2020,168,0
07/31/2020,133,0
08/01/2020,58,2
08/02/2020,125,0
08/03/2020,148,2
08/04/2020,124,1
08/05/2020,120,1
08/06/2020,150,1
08/07/2020,181,2
08/08/2020,88,0
08/09/2020,117,1
08/10/2020,172,5
08/11/2020,85,2
08/12/2020,201,0
08/13/2020,151,1
08/14/2020,122,0
08/15/2020,143,4
08/16/2020,60,1
08/17/2020,135,2
08/18/2020,186,2
08/19/2020,274,0
08/20/2020,232,2
08/21/2020,262,3
08/22/2020,140,1
08/23/2020,124,1
08/24/2020,229,1
08/25/2020,238,0
08/26/2020,333,1
08/27/2020,310,0
08/28/2020,374,2
08/29/2020,166,0
08/30/2020,166,2
08/31/2020,184,2
09/01/2020,267,3
09/02/2020,362,2
09/03/2020,344,0
09/04/2020,361,5
09/05/2020,297,1
09/06/2020,170,0
09/07/2020,71,0
09/08/2020,238,1
09/09/2020,333,3
09/10/2020,241,4
09/11/2020,467,3
09/12/2020,426,1
09/13/2020,254,2
09/14/2020,233,2
09/15/2020,269,5
09/16/2020,448,7
09/17/2020,448,0
09/18/2020,377,8
09/19/2020,351,0
