Date,Florida,Louisiana,Indiana,New_Jersey,North_Dakota,Minnesota
01/26/2020,0,0,0,0,0,0
01/27/2020,0,0,0,0,0,0
01/28/2020,0,0,0,0,0,0
01/29/2020,0,0,0,0,0,0
01/30/2020,0,0,0,0,0,0
01/31/2020,0,0,0,0,0,0
02/01/2020,0,0,0,0,0,0
02/02/2020,0,0,0,0,0,0
02/03/2020,0,0,0,0,0,0
02/04/2020,0,0,0,0,0,0
02/05/2020,0,0,0,0,0,0
02/06/2020,0,0,0,0,0,0
02/07/2020,0,0,0,0,0,0
02/08/2020,0,0,0,0,0,0
02/09/2020,0,0,0,0,0,0
02/10/2020,0,0,0,0,0,0
02/11/2020,0,0,0,0,0,0
02/12/2020,0,0,0,0,0,0
02/13/2020,0,0,0,0,0,0
02/14/2020,0,0,0,0,0,0
02/15/2020,0,0,0,0,0,0
02/16/2020,0,0,0,0,0,0
02/17/2020,0,0,0,0,0,0
02/18/2020,0,0,0,0,0,0
02/19/2020,0,0,0,0,0,0
02/20/2020,0,0,0,0,0,0
02/21/2020,0,0,0,0,0,0
02/22/2020,0,0,0,0,0,0
02/23/2020,0,0,0,0,0,0
02/24/2020,0,0,0,0,0,0
02/25/2020,0,0,0,0,0,0
02/26/2020,0,0,0,0,0,0
02/27/2020,0,0,0,0,0,0
02/28/2020,0,0,0,0,0,0
02/29/2020,0,0,0,0,0,0
03/01/2020,0,0,0,0,0,0
03/02/2020,1,0,0,0,0,0
03/03/2020,1,0,0,0,0,0
03/04/2020,0,0,0,0,0,0
03/05/2020,1,0,0,2,0,0
03/06/2020,0,0,1,2,0,1
03/07/2020,3,0,0,2,0,0
03/08/2020,0,0,1,0,0,1
03/09/2020,13,1,1,2,0,0
03/10/2020,0,0,2,7,0,2
03/11/2020,7,7,4,8,0,1
03/12/2020,5,6,3,6,1,5
03/13/2020,0,19,0,1,0,4
03/14/2020,24,0,0,14,0,0
03/15/2020,81,68,7,54,0,40
03/16/2020,6,36,5,80,0,6
03/17/2020,53,53,6,89,4,17
03/18/2020,104,71,9,160,2,12
03/19/2020,94,131,17,315,12,26
03/20/2020,117,145,23,148,7,0
03/21/2020,196,226,47,437,2,22
03/22/2020,231,272,75,587,2,99
03/23/2020,204,137,58,930,2,26
03/24/2020,232,216,106,831,5,25
03/25/2020,488,558,112,727,8,59
03/26/2020,491,359,168,2474,13,53
03/27/2020,702,441,336,1949,10,21
03/28/2020,823,569,251,2299,26,21
03/29/2020,891,225,282,2262,4,135
03/30/2020,721,485,272,3250,11,56
03/31/2020,1001,1212,373,2060,17,56
04/01/2020,1005,1187,406,3559,21,53
04/02/2020,1199,2726,474,3335,12,47
04/03/2020,1231,1147,418,4305,14,38
